Date,High,result,Volume
1994-06-28,7.572114999999999,2.282881,13409100
1994-06-29,7.672275999999999,2.300999,14174100
1994-06-30,7.6522440000000005,2.252683,13299300
1994-07-01,7.572114999999999,2.2406040000000003,11947700
1994-07-05,7.572114999999999,2.270802,12778800
1994-07-06,7.592147,2.282881,10683500
1994-07-07,7.632211999999999,2.288919,9258200
1994-07-08,7.612178999999999,2.288919,8845800
1994-07-11,7.612178999999999,2.282881,9512800
1994-07-12,7.572114999999999,2.2647619999999997,11099700
1994-07-13,7.592147,2.2647619999999997,9821100
1994-07-14,7.632211999999999,2.300999,15511300
1994-07-15,7.732372,2.313077,17921900
1994-07-18,7.712339999999999,2.313077,10125000
1994-07-19,7.852564,2.361391,14340700
1994-07-20,7.892628,2.355353,10919300
1994-07-21,7.852564,2.343273,9633900
1994-07-22,7.9727559999999995,2.3976290000000002,10740900
1994-07-25,8.032852,2.409707,12678400
1994-07-26,7.9727559999999995,2.373471,7131600
1994-07-27,7.892628,2.355353,10380800
1994-07-28,7.9326929999999996,2.3915889999999997,6354100
1994-07-29,8.112981,2.433865,14952900
1994-08-01,8.133013,2.427825,10846900
1994-08-02,8.153045,2.415747,13550100
1994-08-03,8.032852,2.3976290000000002,9759900
1994-08-04,7.952724000000001,2.343273,20353000
1994-08-05,7.892628,2.367432,6606900
1994-08-08,7.952724000000001,2.3915889999999997,7641500
1994-08-09,7.912660000000001,2.361391,10714700
1994-08-10,7.892628,2.331195,19119900
1994-08-11,7.732372,2.300999,15313500
1994-08-12,7.732372,2.3251560000000002,17334000
1994-08-15,7.8125,2.355353,19861200
1994-08-16,7.7924679999999995,2.343273,18389900
1994-08-17,7.772436,2.313077,13306800
1994-08-18,7.612178999999999,2.276841,25674400
1994-08-19,7.672275999999999,2.313077,24711000
1994-08-22,7.712339999999999,2.307039,8175000
1994-08-23,7.852564,2.355353,15097600
1994-08-24,7.892628,2.37951,12449400
1994-08-25,7.9727559999999995,2.3976290000000002,18588900
1994-08-26,8.193109,2.451982,19987900
1994-08-29,8.213141,2.427825,12551100
1994-08-30,8.092949,2.415747,12272800
1994-08-31,8.072917,2.403669,12085600
1994-09-01,8.072917,2.427825,8440200
1994-09-02,8.072917,2.415747,7468600
1994-09-06,8.052885,2.385551,7092300
1994-09-07,7.952724000000001,2.367432,10069400
1994-09-08,7.9326929999999996,2.373471,8331600
1994-09-09,7.9326929999999996,2.373471,11340500
1994-09-12,7.9326929999999996,2.373471,9527800
1994-09-13,7.9727559999999995,2.3915889999999997,7643300
1994-09-14,8.112981,2.427825,12163000
1994-09-15,8.233172999999999,2.482179,12543600
1994-09-16,8.213141,2.464061,27897700
1994-09-19,8.193109,2.4399040000000003,13120800
1994-09-20,8.072917,2.3915889999999997,14408700
1994-09-21,7.992788000000001,2.3915889999999997,14530400
1994-09-22,8.01282,2.373471,14413700
1994-09-23,7.872596000000001,2.355353,10086900
1994-09-26,7.9326929999999996,2.494255,8941200
1994-09-27,7.9727559999999995,2.468932,9946500
1994-09-28,7.852564,2.468932,11640000
1994-09-29,7.8325320000000005,2.468932,11696800
1994-09-30,7.8325320000000005,2.437279,9524100
1994-10-03,7.772436,2.411956,19325200
1994-10-04,7.672275999999999,2.380303,17153700
1994-10-05,7.6522440000000005,2.399296,18094100
1994-10-06,7.6522440000000005,2.380303,10345200
1994-10-07,7.572114999999999,2.367642,13039100
1994-10-10,7.572114999999999,2.373972,10118100
1994-10-11,7.752403999999999,2.4499400000000002,15840200
1994-10-12,8.052885,2.538568,18092800
1994-10-13,8.173077000000001,2.532238,18301200
1994-10-14,8.072917,2.55123,9539700
1994-10-17,8.153045,2.55123,12624700
1994-10-18,8.072917,2.525907,11292500
1994-10-19,8.112981,2.544898,12261600
1994-10-20,8.01282,2.481595,18560800
1994-10-21,7.852564,2.399296,31782800
1994-10-24,7.712339999999999,2.424618,21224700
1994-10-25,7.7924679999999995,2.418286,16286400
1994-10-26,7.732372,2.424618,14091100
1994-10-27,7.732372,2.437279,12790100
1994-10-28,7.9326929999999996,2.500586,15306000
1994-10-31,7.912660000000001,2.475263,11407900
1994-11-01,7.872596000000001,2.45627,9175200
1994-11-02,7.8325320000000005,2.44361,12060600
1994-11-03,7.772436,2.45627,7972200
1994-11-04,7.852564,2.430948,9680100
1994-11-07,7.8125,2.44361,7930400
